KADOKAWA,9,ドラゴンコミックスエイジ,トリアージX（25）,佐藤ショウジ,未定,
講談社,5,アフタヌーンKC,ぐらんぶる（19）,井上堅二／吉岡公威,748,
講談社,5,アフタヌーンKC,てんぷる（７）,吉岡公威,748,
講談社,9,KCデラックス,さわらないで小手指くん（４）,シンジョウタクヤ,715,
講談社,9,講談社コミックス,イジらないで、長瀞さん（14）,ナナシ,528,
講談社,17,KCデラックス,化物語（18）,西尾維新／大暮維人,528,
講談社,17,講談社コミックス,EDENS ZERO（22）,真島ヒロ,528,
集英社,4,ジャンプコミックス,ONE PIECE（103）,尾田栄一郎,484,
集英社,4,ジャンプコミックス,呪術廻戦（20）,芥見下々,484,
集英社,4,ジャンプコミックス,ダンダダン（６）,龍幸伸,528,
集英社,4,ヤングジャンプコミックス,終末のハーレム　ファンタジア学園（３）,ＬＩＮＫ／ＳＡＶＡＮほか,693,
スクウェア・エニックス,10,ガンガンコミックスUP！,俺の現実は恋愛ゲーム？？　～かと思ったら命がけのゲームだった～（15）,わるいおとこ／彭傑＆奈栩（Ｆｒｉｅｎｄｌｙ　Ｌａｎｄ）ほか,660,
日本文芸社,19,ニチブン・コミックス,はぐれアイドル地獄変（15）,高遠るい,792,
