KADOKAWA,6,ヴァンプコミックス,Uterus of the Blackgoat 黒山羊の仔袋（１）,春輝／ＮＩＴＲＯ　ＯＲＩＧＩＮほか,未定,
講談社,9,KCデラックス,ギルティサークル（７）,山本やみー／門馬司,715,
講談社,16,KCデラックス,化物語（21）,西尾維新／大暮維人,715,
講談社,16,講談社コミックス,カッコウの許嫁（16）,吉河美希,528,
講談社,16,講談社コミックス,甘神さんちの縁結び（９）,内藤マーシー,528,
集英社,3,ジャンプコミックス,ダンダダン（９）,龍幸伸,572,
集英社,3,ジャンプコミックス,呪術廻戦（22）,芥見下々,528,
集英社,3,ジャンプコミックス,ONE PIECE（105）,尾田栄一郎,528,
集英社,3,ジャンプコミックス,ONE PIECE学園（６）,尾田栄一郎／小路壮平,528,
集英社,3,ジャンプコミックス,あやかしトライアングル（13）,矢吹健太朗,528,
集英社,17,ヤングジャンプコミックス,バツハレ（３）,稲葉みのり,715,
スクウェア・エニックス,10,ガンガンコミックスONLINE,キングダム　ハーツIII（3）,天野シロ／野村哲也,790,
