alpine-baselayout	3.6.8-r1	Alpine base dir structure and init scripts
alpine-baselayout-data	3.6.8-r1	Alpine base dir structure and init scripts
alpine-keys	2.5-r0	Public keys for Alpine Linux packages
alpine-release	3.21.3-r0	Alpine release data
aom-libs	3.11.0-r0	Alliance for Open Media (AOM) AV1 codec SDK (libraries)
apk-tools	2.14.6-r3	Alpine Package Keeper - package manager for alpine
brotli-libs	1.1.0-r2	Generic lossless compressor (libraries)
busybox	1.37.0-r12	Size optimized toolbox of many common UNIX utilities
busybox-binsh	1.37.0-r12	busybox ash /bin/sh
c-ares	1.34.5-r0	Asynchronous DNS/names resolver library
ca-certificates	20241121-r1	Common CA certificates PEM files from Mozilla
ca-certificates-bundle	20241121-r1	Pre generated bundle of Mozilla certificates
curl	8.12.1-r1	URL retrival utility and library
fontconfig	2.15.0-r1	Library for configuring and customizing font access
freetype	2.13.3-r0	TrueType font rendering library
geoip	1.6.12-r5	Lookup countries by IP addresses
gettext-envsubst	0.22.5-r0	GNU gettext envsubst binary
libavif	1.0.4-r0	Library for encoding and decoding .avif files
libbsd	0.12.2-r0	commonly-used BSD functions not implemented by all libcs
libbz2	1.0.8-r6	Shared library for bz2
libcrypto3	3.3.3-r0	Crypto library from openssl
libcurl	8.12.1-r1	The multiprotocol file transfer library
libdav1d	1.5.0-r0	small and fast AV1 Decoder (libraries)
libedit	20240808.3.1-r0	BSD line editing library
libexpat	2.7.0-r0	XML Parser library written in C (libraries)
libgcrypt	1.10.3-r1	General purpose crypto library based on the code used in GnuPG
libgd	2.3.3-r9	Library for the dynamic creation of images by programmers (libraries)
libgpg-error	1.51-r0	Support library for libgcrypt
libice	1.1.1-r6	X11 Inter-Client Exchange library
libidn2	2.3.7-r0	Encode/Decode library for internationalized domain names
libintl	0.22.5-r0	GNU gettext runtime library
libjpeg-turbo	3.0.4-r0	Accelerated baseline JPEG compression and decompression library
libmd	1.1.0-r0	Message Digest functions from BSD systems
libncursesw	6.5_p20241006-r3	Console display library (libncursesw)
libpng	1.6.47-r0	Portable Network Graphics library
libpsl	0.21.5-r3	C library for the Publix Suffix List
libsharpyuv	1.4.0-r0	Libraries for working with WebP images (libsharpyuv library)
libsm	1.2.4-r4	X11 Session Management library
libssl3	3.3.3-r0	SSL shared libraries
libunistring	1.2-r0	Library for manipulating Unicode strings and C strings
libuuid	2.40.4-r1	DCE compatible Universally Unique Identifier library
libwebp	1.4.0-r0	Libraries for working with WebP images
libx11	1.8.10-r0	X11 client-side library
libxau	1.0.11-r4	X11 authorisation library
libxcb	1.16.1-r0	X11 client-side library
libxdmcp	1.1.5-r1	X11 Display Manager Control Protocol library
libxext	1.3.6-r2	X11 miscellaneous extensions library
libxml2	2.13.4-r5	XML parsing library, version 2
libxpm	3.5.17-r0	X11 pixmap library
libxslt	1.1.42-r2	XML stylesheet transformation library
libxt	1.3.1-r0	X11 toolkit intrinsics library
musl	1.2.5-r9	the musl c library (libc) implementation
musl-utils	1.2.5-r9	the musl c library (libc) implementation
ncurses-terminfo-base	6.5_p20241006-r3	Descriptions of common terminals
nghttp2-libs	1.64.0-r0	HTTP/2 C client, server and proxy (libraries)
nginx	1.27.5-r1	High performance web server
nginx-module-geoip	1.27.5-r1	nginx GeoIP dynamic modules
nginx-module-image-filter	1.27.5-r1	nginx image filter dynamic module
nginx-module-njs	1.27.5.0.8.10-r1	nginx njs dynamic modules
nginx-module-xslt	1.27.5-r1	nginx xslt dynamic module
pcre2	10.43-r0	Perl-compatible regular expression library
scanelf	1.3.8-r1	Scan ELF binaries for stuff
ssl_client	1.37.0-r12	External ssl_client for busybox wget
tiff	4.7.0-r0	Provides support for the Tag Image File Format or TIFF
tzdata	2025b-r0	Timezone data
xz-libs	5.6.3-r1	Library and CLI tools for XZ and LZMA compressed files (libraries)
zlib	1.3.1-r2	A compression/decompression Library
zstd-libs	1.5.6-r2	Zstandard - Fast real-time compression algorithm (libraries)
