Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-30 09:00:00+09:00,21900.0,22285.0,21315.0,22240.0,0,0.0,0.0
2026-01-30 10:00:00+09:00,22235.0,22730.0,22165.0,22460.0,281900,0.0,0.0
2026-01-30 11:00:00+09:00,22465.0,22615.0,22390.0,22395.0,83000,0.0,0.0
2026-01-30 12:00:00+09:00,22455.0,22835.0,22420.0,22795.0,161900,0.0,0.0
2026-01-30 13:00:00+09:00,22800.0,22995.0,22735.0,22870.0,180100,0.0,0.0
2026-01-30 14:00:00+09:00,22865.0,22885.0,22675.0,22710.0,132600,0.0,0.0
2026-01-30 15:00:00+09:00,22700.0,22760.0,22275.0,22380.0,107900,0.0,0.0
2026-02-02 09:00:00+09:00,21470.0,21925.0,20880.0,21800.0,0,0.0,0.0
2026-02-02 10:00:00+09:00,21790.0,21790.0,21325.0,21615.0,110500,0.0,0.0
2026-02-02 11:00:00+09:00,21595.0,21615.0,21510.0,21560.0,34800,0.0,0.0
2026-02-02 12:00:00+09:00,21500.0,21540.0,21300.0,21420.0,80300,0.0,0.0
2026-02-02 13:00:00+09:00,21410.0,21505.0,21285.0,21415.0,83000,0.0,0.0
2026-02-02 14:00:00+09:00,21425.0,21465.0,21320.0,21320.0,92300,0.0,0.0
2026-02-02 15:00:00+09:00,21315.0,21480.0,21315.0,21450.0,69900,0.0,0.0
